anio,clae2,empleo,establecimientos,exportadoras,salario_promedio_anual_deflactado,meses_completos,empleo_total_geo,establecimientos_total_geo,share_empleo,densidad_estab,intensidad_export,provincia_id,provincia
2022,79,202.0,11.0,0.0,0.0,0,34191.0,5047.0,0.00590799,0.05445545,0.0,10,Catamarca
2022,81,346.0,70.0,0.0,0.0,0,34191.0,5047.0,0.01011962,0.20231214,0.0,10,Catamarca
2022,82,246.0,64.0,0.0,0.0,0,34191.0,5047.0,0.00719488,0.2601626,0.0,10,Catamarca
2022,84,34.0,11.0,0.0,0.0,0,34191.0,5047.0,0.00099441,0.32352941,0.0,10,Catamarca
2022,85,3522.0,89.0,0.0,0.0,0,34191.0,5047.0,0.10300956,0.02526973,0.0,10,Catamarca
2022,94,520.0,182.0,0.0,0.0,0,34191.0,5047.0,0.01520868,0.35,0.0,10,Catamarca
2022,96,148.0,80.0,0.0,0.0,0,34191.0,5047.0,0.00432862,0.54054054,0.0,10,Catamarca
2022,14,1187.0,34.0,8.0,0.0,0,34191.0,5047.0,0.03471674,0.02864364,0.23529412,10,Catamarca
2022,71,331.0,61.0,7.0,0.0,0,34191.0,5047.0,0.00968091,0.18429003,0.1147541,10,Catamarca
2022,87,59.0,11.0,0.0,0.0,0,34191.0,5047.0,0.0017256,0.18644068,0.0,10,Catamarca
2022,11,358.0,33.0,8.0,0.0,0,34191.0,5047.0,0.01047059,0.09217877,0.24242424,10,Catamarca
2022,16,27.0,8.0,0.0,0.0,0,34191.0,5047.0,0.00078968,0.2962963,0.0,10,Catamarca
2022,23,359.0,14.0,2.0,0.0,0,34191.0,5047.0,0.01049984,0.03899721,0.14285714,10,Catamarca
2022,33,34.0,11.0,2.0,0.0,0,34191.0,5047.0,0.00099441,0.32352941,0.18181818,10,Catamarca
2022,39,11.0,1.0,0.0,0.0,0,34191.0,5047.0,0.00032172,0.09090909,0.0,10,Catamarca
2022,45,803.0,161.0,0.0,0.0,0,34191.0,5047.0,0.02348571,0.20049813,0.0,10,Catamarca
2022,52,123.0,43.0,0.0,0.0,0,34191.0,5047.0,0.00359744,0.3495935,0.0,10,Catamarca
2022,60,238.0,34.0,6.0,0.0,0,34191.0,5047.0,0.0069609,0.14285714,0.17647059,10,Catamarca
2022,78,45.0,16.0,0.0,0.0,0,34191.0,5047.0,0.00131614,0.35555556,0.0,10,Catamarca
2022,58,96.0,12.0,0.0,0.0,0,34191.0,5047.0,0.00280776,0.125,0.0,10,Catamarca
2022,2,21.0,7.0,0.0,0.0,0,34191.0,5047.0,0.0006142,0.33333333,0.0,10,Catamarca
2022,3,6.0,1.0,1.0,0.0,0,34191.0,5047.0,0.00017548,0.16666667,1.0,10,Catamarca
